"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","Database-Driven Testing Dinámico","Suite UI Automation","Fri Feb 20 19:20:31 UTC 2026","skipped","Fri Feb 20 19:20:31 UTC 2026","LoginTests","Login Tests","LoginTests","verifyArtistNameFromDatabase"
"","0","loginValidationMessages","Suite UI Automation","Fri Feb 20 19:20:30 UTC 2026","skipped","Fri Feb 20 19:20:30 UTC 2026","LoginTests","Login Tests","LoginTests","loginValidationMessages"
"","3","INTERNSHIP-108252 Koel app | Log in","Suite UI Automation","Fri Feb 20 19:20:30 UTC 2026","skipped","Fri Feb 20 19:20:30 UTC 2026","LoginTests","Login Tests","LoginTests","loginwithcorrectPasswordTest"
"","2","setUp","Suite UI Automation","Fri Feb 20 19:20:30 UTC 2026","broken","Fri Feb 20 19:20:30 UTC 2026","LoginTests","Login Tests","LoginTests","setUp"
"","0","loginWithDeepLink","Suite UI Automation","Fri Feb 20 19:20:30 UTC 2026","skipped","Fri Feb 20 19:20:30 UTC 2026","LoginTests","Login Tests","LoginTests","loginWithDeepLink"
"","0","renamePlaylistFlow","Suite UI Automation","Fri Feb 20 19:20:31 UTC 2026","skipped","Fri Feb 20 19:20:31 UTC 2026","LoginTests","Login Tests","LoginTests","renamePlaylistFlow"
"","1","User should be able to log out after updating email and password","Suite UI Automation","Fri Feb 20 19:20:30 UTC 2026","skipped","Fri Feb 20 19:20:30 UTC 2026","LoginTests","Login Tests","LoginTests","updateProfile"
"","2","User should be able to log out after successful login, User should be navigated to the Login page after logging out","Suite UI Automation","Fri Feb 20 19:20:30 UTC 2026","skipped","Fri Feb 20 19:20:30 UTC 2026","LoginTests","Login Tests","LoginTests","logoutAfterUpdateTest"
"","2","Log student out’ button should be present on the homepage, next to ‘Profile’ button","Suite UI Automation","Fri Feb 20 19:20:30 UTC 2026","skipped","Fri Feb 20 19:20:30 UTC 2026","LoginTests","Login Tests","LoginTests","logoutUIVerificationTest"
"","1","INTERNSHIP-108264 Koel app | Info panel (Lyrics, Artist, Album)","Suite UI Automation","Fri Feb 20 19:20:30 UTC 2026","skipped","Fri Feb 20 19:20:30 UTC 2026","LoginTests","Login Tests","LoginTests","verifyInfoPanelAndNavigation"
"","0","loginValidationMessages","Suite UI Automation","Fri Feb 20 19:20:30 UTC 2026","skipped","Fri Feb 20 19:20:30 UTC 2026","LoginTests","Login Tests","LoginTests","loginValidationMessages"
