"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Database-Driven Testing Dinámico","Suite UI Automation","Fri Feb 20 19:15:23 UTC 2026","skipped","Fri Feb 20 19:15:23 UTC 2026","LoginTests","Login Tests","LoginTests","verifyArtistNameFromDatabase"
"","3","INTERNSHIP-108264 Koel app | Info panel (Lyrics, Artist, Album)","Suite UI Automation","Fri Feb 20 19:15:23 UTC 2026","skipped","Fri Feb 20 19:15:23 UTC 2026","LoginTests","Login Tests","LoginTests","verifyInfoPanelAndNavigation"
"","4","INTERNSHIP-108252 Koel app | Log in","Suite UI Automation","Fri Feb 20 19:15:23 UTC 2026","skipped","Fri Feb 20 19:15:23 UTC 2026","LoginTests","Login Tests","LoginTests","loginwithcorrectPasswordTest"
"","2","setUp","Suite UI Automation","Fri Feb 20 19:15:23 UTC 2026","broken","Fri Feb 20 19:15:23 UTC 2026","LoginTests","Login Tests","LoginTests","setUp"
"","1","loginValidationMessages","Suite UI Automation","Fri Feb 20 19:15:23 UTC 2026","skipped","Fri Feb 20 19:15:23 UTC 2026","LoginTests","Login Tests","LoginTests","loginValidationMessages"
"","1","loginWithDeepLink","Suite UI Automation","Fri Feb 20 19:15:23 UTC 2026","skipped","Fri Feb 20 19:15:23 UTC 2026","LoginTests","Login Tests","LoginTests","loginWithDeepLink"
"","0","User should be able to log out after updating email and password","Suite UI Automation","Fri Feb 20 19:15:23 UTC 2026","skipped","Fri Feb 20 19:15:23 UTC 2026","LoginTests","Login Tests","LoginTests","updateProfile"
"","4","Log student out’ button should be present on the homepage, next to ‘Profile’ button","Suite UI Automation","Fri Feb 20 19:15:23 UTC 2026","skipped","Fri Feb 20 19:15:23 UTC 2026","LoginTests","Login Tests","LoginTests","logoutUIVerificationTest"
"","0","renamePlaylistFlow","Suite UI Automation","Fri Feb 20 19:15:23 UTC 2026","skipped","Fri Feb 20 19:15:23 UTC 2026","LoginTests","Login Tests","LoginTests","renamePlaylistFlow"
"","0","User should be able to log out after successful login, User should be navigated to the Login page after logging out","Suite UI Automation","Fri Feb 20 19:15:23 UTC 2026","skipped","Fri Feb 20 19:15:23 UTC 2026","LoginTests","Login Tests","LoginTests","logoutAfterUpdateTest"
"","0","loginValidationMessages","Suite UI Automation","Fri Feb 20 19:15:23 UTC 2026","skipped","Fri Feb 20 19:15:23 UTC 2026","LoginTests","Login Tests","LoginTests","loginValidationMessages"
